Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,0593135202,9780593135204,0,4.5,Ballantine Books,Hardcover,476,2021,2021,,7/2/25,to-read,to-read (#41),to-read,,,,0,0
21853621,The Nightingale,Kristin Hannah,"Hannah, Kristin",,0312577222,9780312577223,5,4.64,St. Martin's Press,Hardcover,440,2015,2015,7/2/25,7/17/23,,,read,,,,1,0
220817728,Atmosphere,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,,,0,4.45,Ballantine Books,Hardcover,352,2025,2025,,6/16/25,to-read,to-read (#40),to-read,,,,0,0
30659,Meditations,Marcus Aurelius,"Aurelius, Marcus",Martin Hammond,0140449337,9780140449334,5,4.28,Penguin Books,Paperback,254,2006,180,,2/14/25,,,read,,,,1,0
18144590,The Alchemist,Paulo Coelho,"Coelho, Paulo",,0062315005,9780062315007,4,3.92,HarperOne,Paperback,182,2014,1988,,2/11/25,,,read,,,,1,0
18693655,A Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra),Barbara Oakley,"Oakley, Barbara",,039916524X,9780399165245,0,4.2,The Penguin Group,Paperback,336,2014,2014,,4/21/25,to-read,to-read (#39),to-read,,,,0,0
44421460,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,1529029589,9781529029581,0,3.67,Picador,Paperback,213,2019,2015,,4/21/25,to-read,to-read (#38),to-read,,,,0,0
52701044,Girl Decoded: A Scientist's Quest to Reclaim Our Humanity by Bringing Emotional Intelligence to Technology,Rana El Kaliouby,"Kaliouby, Rana El",,1984824767,9781984824769,0,4.12,Currency,Hardcover,272,2020,2020,,4/21/25,to-read,to-read (#37),to-read,,,,0,0
11996,I Who Have Never Known Men,Jacqueline Harpman,"Harpman, Jacqueline",Ros Schwartz,0380731819,9780380731817,0,4.15,Avon Eos,Mass Market Paperback,208,1998,1995,,4/21/25,to-read,to-read (#36),to-read,,,,0,0
6900,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,"Albom, Mitch",,,,5,4.2,Warner,Paperback,210,2000,1997,3/31/25,1/8/25,,,read,,,,1,0
7445,The Glass Castle,Jeannette Walls,"Walls, Jeannette",,074324754X,9780743247542,5,4.32,Scribner,Paperback,288,2006,2005,3/20/25,5/5/24,,,read,,,,1,0
61431922,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"Yarros, Rebecca",,1649374046,9781649374042,0,4.58,Entangled: Red Tower Books,Hardcover,517,2023,2023,,2/17/25,to-read,to-read (#35),to-read,,,,0,0
40597810,Daisy Jones & The Six,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,1524798622,9781524798628,0,4.2,Ballantine Books,Hardcover,368,2019,2019,,5/7/24,,,read,,,,1,0
27189194,One True Loves,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,,,5,4.03,Washington Square Press,Kindle Edition,352,2016,2016,2/10/25,2/7/25,,,read,,,,1,0
25845273,The Great Divorce,C.S. Lewis,"Lewis, C.S.",,,,0,4.32,HarperCollins,Paperback,146,2015,1946,,2/10/25,to-read,to-read (#34),to-read,,,,0,0
3431,The Five People You Meet in Heaven,Mitch Albom,"Albom, Mitch",,0786868716,9780786868711,0,4.01,Hyperion,Hardcover,196,2003,2003,,2/8/25,to-read,to-read (#33),to-read,,,,0,0
23848559,Furiously Happy: A Funny Book About Horrible Things,Jenny  Lawson,"Lawson, Jenny",,1250077001,9781250077004,0,3.89,Flatiron Books,Hardcover,329,2015,2015,,2/8/25,to-read,to-read (#32),to-read,,,,0,0
34912895,The Great Alone,Kristin Hannah,"Hannah, Kristin",,,,5,4.45,St. Martin's Press,Kindle Edition,435,2018,2018,12/23/24,9/15/24,,,read,,,,1,0
37415,Their Eyes Were Watching God,Zora Neale Hurston,"Hurston, Zora Neale",,0061120065,9780061120060,0,3.99,Amistad,Paperback,238,2006,1937,,12/14/24,to-read,to-read (#31),to-read,,,,0,0
66354,Flow: The Psychology of Optimal Experience,Mihály Csíkszentmihályi,"Csíkszentmihályi, Mihály",,,,4,4.11,Harper Perennial,Paperback,303,1990,1990,,3/16/24,,,read,,,,1,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,,,0,4.33,Avery,Kindle Edition,319,2018,2018,,5/7/24,,,read,,,,1,0
53138081,The Four Winds,Kristin Hannah,"Hannah, Kristin",,1250178606,9781250178602,0,4.3,St. Martin's Press,Hardcover,464,2021,2021,,11/14/24,to-read,to-read (#30),to-read,,,,0,0
43868109,Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,"Keefe, Patrick Radden",,0385545681,9780385545686,0,4.54,Doubleday,Hardcover,535,2021,2021,,11/12/24,to-read,to-read (#29),to-read,,,,0,0
29780253,Born a Crime: Stories From a South African Childhood,Trevor Noah,"Noah, Trevor",,0385689225,9780385689229,5,4.49,Doubleday Canada,Hardcover,289,2016,2016,11/7/24,6/17/24,,,read,,,,1,0
206305528,Lessons in Chemistry,Bonnie Garmus,"Garmus, Bonnie",,,,0,4.28,Doubleday,Hardcover,404,2024,2022,,9/15/24,to-read,to-read (#28),to-read,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,1,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,2,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,2,0
,,,,,,,,,,,,,,,,,,,,,,3,0
,,,,,,,,,,,,,,,,,,,,,,1,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,1,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,1,0
,,,,,,,,,,,,,,,,,,,,,,1,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,2,0
,,,,,,,,,,,,,,,,,,,,,,1,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,1,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,1,0
,,,,,,,,,,,,,,,,,,,,,,1,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,1,0
,,,,,,,,,,,,,,,,,,,,,,1,0
,,,,,,,,,,,,,,,,,,,,,,1,0
,,,,,,,,,,,,,,,,,,,,,,1,0
